UserName,UserDate,UserInfo,ReviewTitle,Rating,RatingAttribute,ReviewContent,CreatedDate
Ba Bỉm Sữa,Đã tham gia 7 năm,"Đã viết
33 Đánh giá",Cực kì hài lòng,,,"Thihs sách này lâu rồi, nên nay thấy sale nên mua. Thank tiki đã đóng gói và giao hàng cẩn thận. Sách chính hãng chứ không phải những sách lỗi giá rẻ bán đầy trên các trang không chính thống",Đánh giá vào 6 tháng trướcĐã dùng 1 ngày
Tường Vi,Đã tham gia 2 năm,"Đã viết
8 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu","Đọc xong cuốn này cho mình cảm nhận, hiền là một điều tốt nhưng hiền quá trước những sự bất công người khác đối với mình thì thành ra mình bị ngta xem thường. 
Cuốn này hợp với những bạn đang bị yếu thế ko dám lên tiếng cho bản thân. Thu gọn",Đánh giá vào 6 tháng trướcĐã dùng 1 năm
HỒ MINH KHOA,Đã tham gia 1 năm,"Đã viết
3 Đánh giá",Cực kì hài lòng,,,"Sách trình bày dễ hiểu, đi sâu vào từng hiệu ứng tâm lí trong cuộc sống kèm vd cụ thể nên đọc rất hay và dễ hiểu. Đôi khi sách giúp mình nhận ra mình đã vô tình làm tổn thương tâm lí người khác mà mik ko biết. Ngoài ra, sách còn đưa ra những giải pháp, những cách hay để mik đối xử vs mn cho đúng mà ko tổn thương họ Thu gọn",Đánh giá vào 1 năm trướcĐã dùng 1 ngày
Nguyễn Minh Thu,Đã tham gia 6 năm,"Đã viết
4 Đánh giá",Cực kì hài lòng,,,"Sách rất hay, tác giả đề cập đến những vấn đề mình thường khó chịu nhưng không biết cách bày tỏ, mỗi vấn đề được nêu riêng biệt 1 chương nên cho dù bận mình vẫn theo dõi được.
Chất lượng in tốt.
Mong nxb ra thêm sách của tác giả này! Thu gọn",Đánh giá vào 2 năm trướcĐã dùng 13 ngày
Oanh Oanh,Đã tham gia 4 năm,"Đã viết
6 Đánh giá",Cực kì hài lòng,,,"Sách đọc ok lắm luôn nhưng mà sản phẩm mình nhận không có boookmark hơi buồn
Đóng gói quá là sơ sài hơi thất vọng chút",Đánh giá vào 1 năm trướcĐã dùng 1 ngày
Vận Đàm,Đã tham gia 3 năm,"Đã viết
22 Đánh giá",Cực kì hài lòng,,,"Sách về nhanh, tuy nhiên do bỏ vào mỗi một cái hộp nên sách bị móp một vài chỗ.Mong tiki trading cải thiện đóng gói hàng hơn.
Cuốn này thấy khá nhiều người recommend nên mong nội dung sẽ đúng như gì mk mong đợi Thu gọn",Đánh giá vào 2 năm trướcĐã dùng 2 giờ
Lê Khánh,Đã tham gia 4 năm,"Đã viết
13 Đánh giá",Cực kì hài lòng,,,"Tiki giao hàng nhanh lắm ạ đặt tối hqua trưa nay đã giao màu sắc, in ấn rõ nét",Đánh giá vào 1 năm trướcĐã dùng 3 giờ
Trần Thị Thảo,Đã tham gia 2 năm,"Đã viết
1 Đánh giá",Cực kì hài lòng,,"Bìa đẹp, bắt mắt, chất lượng giấy tốt, in ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi","Một quyển sách tâm đắc
1. Về hình thức: sách chắc chắn, giấy đẹp bìa ấn tượng, chữ in rõ nét, tặng kèm bookmark như đã hứa, màu sách hơi ngã vàng đọc không mỏi mắt. 10/10
2. Về giao hàng: lần giao này có hơi lâu hơn những lần trước nhưng không sao, do vận chuyển nên góc có hơi móp nhưng tạm chấp nhận được. 8.5/10
3. Về nội dung: phần quan trọng cũng như làm mình ưng ý nhất. Giọng văn tác giả rất cá tính, khác biệt và thuyết phục. Nội dung sách xoay quanh những chủ đề tâm lí trong thực tại cuộc sống như các hiệu ứng tâm lí, tự sát, thần tượng,.. với lí luận chặt chẽ hợp lí, chạm đến thực sự trái tim người đọc một cách chân thật, dễ hiểu, sâu sắc và truyền cảm hứng vô cùng....Đối với bản thân mình bao nhiêu đó là quá đủ để bỏ tiền túi ra mà ko cảm thấy hối hận. Tóm lại SÁCH HAY NÊN MUA, KO LÀM MỌI NGƯỜI THẤT VỌNG! Thu gọn",Đánh giá vào 2 năm trướcĐã dùng 1 ngày
Sơn Đào,Đã tham gia 4 năm,"Đã viết
10 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu",sách hay lắm luôn á.Vừa vào thôi đã dính ngay câu nói mình cực kì thích 🥹,Đánh giá vào 2 năm trướcĐã dùng 1 tháng
Thanh Quang,Đã tham gia 6 năm,"Đã viết
2 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu","Mình mua thêm 3 quyển để đi tặng bạn bè mà giao hàng ko bọc chống sốc, 3 quyển đặt chung với nhau nên bị xước và nhăn 1 số chỗ. Tiki lưu ý hơn trong khâu đóng gói nhé
Vì nội dung sách nên vẫn đánh giá 5 sao Thu gọn",Đánh giá vào 2 năm trướcĐã dùng 5 giờ
Trần Châu,Đã tham gia 2 năm,"Đã viết
3 Đánh giá",Cực kì hài lòng,,,"Tiki giáo hàng thì lúc nào cũng nhanh, like.
Sách nhìn rất đẹp, nội dung thì chưa biết.",Đánh giá vào 2 năm trướcĐã dùng 23 phút
Nguyễn Bình An,Đã tham gia 5 năm,"Đã viết
6 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu","Sách đẹp, có bookmark. Nội dung hay, bổ ích. Sách này có nhiều Review rồi nên mình không nói gì thêm(ảnh mang tính chất lười chụp).",Đánh giá vào 2 năm trướcĐã dùng 8 ngày
Nguyễn Phương Thùy,Đã tham gia 8 năm,"Đã viết
360 Đánh giá",Cực kì hài lòng,,"Bìa đẹp, bắt mắt, chất lượng giấy tốt, in ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi","Sản phẩm tốt trong tầm giá, tôi hài lòng sau khi mua hàng. Giao hàng nhanh và đóng gói cẩn thận. Tôi chia sẻ thêm hình ảnh cho mọi người tham khảo khi mua hàng nhé. Tôi sẽ mua lại lần nữa của shop nếu cần thêm. Thu gọn",Đánh giá vào 2 năm trướcĐã dùng 1 ngày
Thanh Nhi,Đã tham gia 5 năm,"Đã viết
7 Đánh giá",Cực kì hài lòng,,,"Mình mua dùm nhỏ em làm quà tặng nên không biết nội dung ra sao nhưng trước mắt đóng gói và giao hàng rất nhanh, đặt ngày CN thứ 2 đã nhận được rồi",Đánh giá vào 10 tháng trướcĐã dùng 2 ngày
Hannah Trần,Đã tham gia 11 năm,"Đã viết
27 Đánh giá",Cực kì hài lòng,,In ấn/màu sắc rõ nét,"Sách cũng hay tuy nhiên ngôn ngữ hơi nhàm chán với một số chương. Thấy vẫn ko hấp dẫn tuyệt đối.
Đánh giá 8/10",Đánh giá vào 1 năm trướcĐã dùng 2 tháng
Phuong Dung,Đã tham gia 3 năm,"Đã viết
1 Đánh giá",Cực kì hài lòng,,,"Giao hàng rất nhanh luôn, sách in rõ nét đẹp, đặc biệt không bị rách góc hay móp méo,Nội dung thì đỉnh của chóp,cho cái nhìn mới về cuộc sống.",Đánh giá vào 2 năm trướcĐã dùng 28 phút
Trà My,Đã tham gia 2 năm,"Đã viết
3 Đánh giá",Cực kì hài lòng,,,"Chất giấy xịn, đẹp, k bị móp méo nha
Có bookmark 2 mặt, chưa đọc nên k bt nội dung sao nữa. Nói chung sách rất là ok",Đánh giá vào 2 năm trướcĐã dùng 2 giờ
Yến Ngọc,Đã tham gia 2 năm,"Đã viết
2 Đánh giá",Cực kì hài lòng,,,Nội dung quá hay! Mới đọc mục lục đầu đã thấy ưng bụng rồi. Sách giao nhanh. K bị móp méo gì khi đến tay. 10 đỉm,Đánh giá vào 2 năm trướcĐã dùng 6 giờ
Thanh Thuy,Đã tham gia 3 năm,"Đã viết
3 Đánh giá",Cực kì hài lòng,,,"Chưa đoc  nên chưa biết nội dung thế nào nhưng đóng gói đẹp và chắc chắn
Sẽ ủng hộ tiki dài dài",Đánh giá vào 1 năm trướcĐã dùng 2 giờ
Lê Khánh Linh,Đã tham gia 6 năm,"Đã viết
3 Đánh giá",Cực kì hài lòng,,"Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu",Một cuốn sách rất đáng mua mang đến những bài học giá trị với ngay thực tế đời sống. Giúp mình xem xét lại lối sống nói chung và lối sống của mình nói riêng để đưa ra phản ứng giải quyết cũng như điều chỉnh cho đúng đắn hơn. Thu gọn,Đánh giá vào 2 năm trướcĐã dùng 1 ngày
Thương Thương,Đã tham gia 6 năm,"Đã viết
7 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu","Hình ảnh chỉ mang tính minh họa. Nhưng sách hay lắm ạ, có nhiều câu chuyện nhỏ",Đánh giá vào 1 năm trướcĐã dùng 1 tháng
Nguyễn Hồng Yến,Đã tham gia 4 năm,"Đã viết
55 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu",Quyền này cực kỳ hay nhed,Đánh giá vào 1 năm trướcĐã dùng 3 tháng
Ngô Trần Minh Thư,Đã tham gia 7 năm,"Đã viết
4 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu","Shop đóng gói cẩn thận và chắc chắn, sách hay, rất đáng tiền",Đánh giá vào 2 năm trướcĐã dùng 3 giờ
Chula Katz,Đã tham gia 3 năm,"Đã viết
16 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu","Văn phong độc đáo mới mẻ, giải thích nhiều vấn đề tưởng là bình thường nhưng lại không bình thường trong cuộc sống. Một cuốn sách hay làm thay đổi cách nhìn nhận thế giới",Đánh giá vào 2 năm trướcĐã dùng 28 phút
Khánh Linh,Đã tham gia 2 năm,"Đã viết
2 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu","Sách đọc hay nha, giao hàng nhanh nữa. Nên mua nha mọi người.",Đánh giá vào 2 năm trướcĐã dùng 7 giờ
Kim Tuyen,Đã tham gia 9 năm,"Đã viết
13 Đánh giá",Cực kì hài lòng,,,"Câu đề từ của sách khá hay. Không có cảm xúc nào là xấu xa, cần phải triệt tiêu, bởi mỗi cảm xúc đều có nguyên nhân và mang thông điệp riêng của nó.",Đánh giá vào 1 năm trướcĐã dùng 1 giờ
Thanh Ngân,Đã tham gia 2 năm,"Đã viết
8 Đánh giá",Cực kì hài lòng,,,"Giao nhanh, sách và bookmark hơi cũ kỹ và cong. Mong shop sau này bảo quản sách tốt hơn
Shipper thân thiện, coi như cũng ổn",Đánh giá vào 2 năm trướcĐã dùng 5 phút
Bích Liên,Đã tham gia 2 năm,"Đã viết
17 Đánh giá",Cực kì hài lòng,,,"Shop bọc hàng ổn
Bìa sách đẹp 
Nội dung hay ý nghĩa
Giao hàng đúng hẹn
Thankyou shop
Nên mua ạ",Đánh giá vào 2 năm trướcĐã dùng 1 giờ
Hiểu Dinh,Đã tham gia 10 năm,"Đã viết
2 Đánh giá",Cực kì hài lòng,,,"Sách mới thơm, chữ rõ dễ đọc, nội dung hay, mới đọc vài trang cảm thấy rất cuốn ạ",Đánh giá vào 2 năm trướcĐã dùng 1 giờ
HUY HOANG,Đã tham gia 6 năm,"Đã viết
6 Đánh giá",Cực kì hài lòng,,,Sản phẩm bọc cẩn thận giao hàng hơi lâu in đẹp,Đánh giá vào 2 năm trướcĐã dùng 2 giờ
Apple User,Đã tham gia 1 năm,"Đã viết
1 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu","sách hay và bổ ích, dành cho những người thiếu lập trường, thiếu chính kiến và hay tự hỏi vì sao mình luôn bị thiệt thòi, bị bắt nạt, lợi dụng lòng tốt",Đánh giá vào 8 tháng trướcĐã dùng 1 tháng
Thu Huyền,Đã tham gia 3 năm,"Đã viết
15 Đánh giá",Cực kì hài lòng,,"Bìa đẹp, bắt mắt, in ấn/màu sắc rõ nét",Đọc dễ hiểu. Những câu chuyện rất bình thường gặp hàng ngày nhưng có thể là bẫy tâm lý. Những tâm hồn ngây thơ cần hiểu thêm về cuộc sống nên đọc,Đánh giá vào 2 năm trướcĐã dùng 1 tháng
Mèo Nhảm Nhí,Đã tham gia 2 năm,"Đã viết
1 Đánh giá",Cực kì hài lòng,,,"Mua đúng đợt săn sale nên được giá tốt hehe
Sách hay
Bìa ấn tượng
Giọng văn cá tính
Hài lòng",Đánh giá vào 2 năm trướcĐã dùng 19 phút
Jane Ahn,Đã tham gia 4 năm,"Đã viết
51 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu","Ngay từ chương đầu, tôi đã bị nội dung của cuốn này thu phục. Gần như tất cả những điều thường thấy xảy ra xung quanh mình đều được mở ra đáp án ấy...
Đáng đọc cực kì!",Đánh giá vào 1 năm trướcĐã dùng 4 tháng
Lu BoiBoi,Đã tham gia 6 năm,"Đã viết
13 Đánh giá",Cực kì hài lòng,,,"Hôm nay, mình sẽ chia sẻ với các bạn 03 nguồn đọc cực ‘chất’ giúp mình có vốn từ khủng, trải dài ở khắp các chủ đề mà IELTS Reading nhắc tới:",Đánh giá vào 2 năm trướcĐã dùng 3 giờ
Trần Thuận,Đã tham gia 6 năm,"Đã viết
13 Đánh giá",Cực kì hài lòng,,,Chưa đọc,Đánh giá vào 4 tháng trướcĐã dùng 1 giờ
Olivia Nguyễn,Đã tham gia 2 năm,"Đã viết
5 Đánh giá",Cực kì hài lòng,,,"Sách hay lắm nha, được tặng bookmark nữa nha, bìa đẹp, giao siêu nhanh luôn",Đánh giá vào 2 năm trướcĐã dùng 6 giờ
Thao Linh,Đã tham gia 3 năm,"Đã viết
10 Đánh giá",Cực kì hài lòng,,,,Đánh giá vào 1 năm trướcĐã dùng 7 ngày
Kinhted,Đã tham gia 9 năm,"Đã viết
14 Đánh giá",Cực kì hài lòng,,,"giao hàng cực nhanh, hi vọng các mẹo tâm lý trong sách có ích",Đánh giá vào 1 năm trướcĐã dùng 4 giờ
Quang Minh,Đã tham gia 5 năm,"Đã viết
17 Đánh giá",Cực kì hài lòng,,,"Mẫu mã bắt mắt nha, nội dung chưa đọc nên chưa đánh giá được ạ",Đánh giá vào 5 tháng trướcĐã dùng 1 giờ
Nguyễn Thị Hồng Thắm,Đã tham gia 8 năm,"Đã viết
111 Đánh giá",Cực kì hài lòng,,,"Nội dung khá hay, gặp trúng vấn đề của mình. Nhiều vấn đề xã hội được đề cập, ví dụ lấy tại Việt Nam nên rất gần gũi",Đánh giá vào 2 năm trướcĐã dùng 3 ngày
Đặng Huỳnh Quế Trâm,Đã tham gia 5 năm,"Đã viết
6 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu","Rate 5 sao cho cuốn này vì nội dung thực tế, dễ hiểu nhưng khai thác nhiều vấn đề xoay quanh cuộc sống",Đánh giá vào 1 năm trướcĐã dùng 7 ngày
Hậu Vũ,Đã tham gia 4 năm,"Đã viết
10 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu","Sách đẹp , mới , khá thích , nội dung chưa đọc nên chưa biết.",Đánh giá vào 2 năm trướcĐã dùng 8 ngày
Nguyễn Thị Bảo Châu,Đã tham gia 2 năm,"Đã viết
7 Đánh giá",Cực kì hài lòng,,,"Màu sắc rõ nét, chất lượng giấy tốt. Nội dung sách hấp dẫn, bố cục rõ ràng.",Đánh giá vào 10 tháng trướcĐã dùng 2 ngày
Khánh Vân,Đã tham gia 6 năm,"Đã viết
9 Đánh giá",Cực kì hài lòng,,"Bìa đẹp, bắt mắt, chất lượng giấy tốt, in ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi","Hàng giao nhanh, đóng gói cẩn thận. Bìa đẹp, đơn giản. Nội dung sách khá hay.",Đánh giá vào 2 năm trướcĐã dùng 6 ngày
Song Thanh,Đã tham gia 4 năm,"Đã viết
5 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Trình bày/Bố cục dễ hiểu","Giao hàng cực nhanh! 
Nội dung chưa đọc nên chưa đánh giá. 
Gói hàng đẹp.",Đánh giá vào 2 năm trướcĐã dùng 1 ngày
Đạt Lê,Đã tham gia 1 năm,"Đã viết
2 Đánh giá",Cực kì hài lòng,,"Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu",Mình khá thích nội dung sách. Mình nhận ra được nhiều góc nhìn khác về cuộc sống qua lăng kính tác giả,Đánh giá vào 2 tháng trướcĐã dùng 4 tháng
Dinh Cong Hoan,Đã tham gia 6 năm,"Đã viết
38 Đánh giá",Cực kì hài lòng,,,Nhanh Gọn Tiện và giá hợp lý. Tôi sẽ trở lại mua hàng vào lần sau và giới thiệu với bạn bè sử dụng dịch vụ,Đánh giá vào 2 năm trướcĐã dùng 1 ngày
Aaaaaa Aaaaa,Đã tham gia 3 năm,"Đã viết
14 Đánh giá",Cực kì hài lòng,,"In ấn/màu sắc rõ nét, Khổ sách nhỏ gọn, dễ mang đi, Nội dung sách hấp dẫn, bổ ích, Trình bày/Bố cục dễ hiểu","Sách đẹp, bm có đủ, đóng gói cẩn thận",Đánh giá vào 1 năm trướcĐã dùng 1 tháng
Đỗ Hiền,Đã tham gia 6 năm,"Đã viết
45 Đánh giá",Cực kì hài lòng,,,"Sách hay, bao bì đẹp, được bọc bao xốp chống trầy cẩn thận.",Đánh giá vào 7 tháng trướcĐã dùng 2 giờ
Bạch Vân,Đã tham gia 5 năm,"Đã viết
7 Đánh giá",Cực kì hài lòng,,,"Hàng giao nhanh
Shop gói hàng kỹ, sách k bị móp hay trầy
Mình ch đọc nên k biết sách hay hay k",Đánh giá vào 1 năm trướcĐã dùng 8 giờ
Hà Trần,Đã tham gia 2 năm,"Đã viết
2 Đánh giá",Cực kì hài lòng,,,"Sách gất đẹp nha:>> gói hàng chưa chắc chắn lắm:')) nhưng sách ko bị rách, xước, lem mực gì cả nên cho 5s",Đánh giá vào 1 năm trướcĐã dùng 3 giờ
